96,ASX:SKI,234,Utilities,False,False,True,True,True,True
97,ASX:MIN,12,Materials,False,False,False,True,True,True
98,ASX:STW,,,False,False,False,False,False,False
99,ASX:BPT,1,Energy,False,False,True,True,True,True
100,ASX:EBO,146,Health Care,False,False,False,False,False,False
101,ASX:ILU,12,Materials,False,False,True,True,True,True
102,ASX:IVV,165,Financials,False,False,False,False,False,False
103,ASX:TNE,193,Information Technology,False,False,False,True,True,True
104,ASX:ORA,12,Materials,False,False,True,True,True,True
105,ASX:ALQ,36,Industrials,False,False,True,True,True,True
106,ASX:CNU,216,Communication Services,False,False,False,True,True,True
107,ASX:BLD,12,Materials,False,False,True,True,True,True
108,ASX:BEN,165,Financials,False,False,True,True,True,True
109,ASX:YAL,1,Energy,False,False,False,False,False,True
110,ASX:VEA,1,Energy,False,False,False,True,True,True
111,ASX:OZL,12,Materials,False,False,True,True,True,True
112,ASX:IGO,12,Materials,False,False,False,True,True,True
113,ASX:IFT,234,Utilities,False,False,False,False,False,False
114,ASX:PME,146,Health Care,False,False,False,True,True,True
115,ASX:GNE,234,Utilities,False,False,False,False,False,True
116,ASX:RRL,12,Materials,False,False,False,True,True,True
117,ASX:CGF,165,Financials,False,False,True,True,True,True
118,ASX:BRG,79,Consumer Discretionary,False,False,False,True,True,True
119,ASX:FBU,12,Materials,False,False,False,True,True,True
120,ASX:SDF,165,Financials,False,False,False,True,True,True
121,ASX:MLT,165,Financials,False,False,False,False,False,False
122,ASX:MTS,124,Consumer Staples,False,False,False,True,True,True
123,ASX:SGR,79,Consumer Discretionary,False,False,True,True,True,True
124,ASX:PMV,79,Consumer Discretionary,False,False,False,True,True,True
125,ASX:MSB,146,Health Care,False,False,False,False,True,True
126,ASX:DOW,36,Industrials,False,False,True,True,True,True
127,ASX:NEC,216,Communication Services,False,False,True,True,True,True
128,ASX:SCP,247,Real Estate,False,False,False,True,True,True
129,ASX:GOZ,247,Real Estate,False,False,False,True,True,True
130,ASX:BWP,247,Real Estate,False,False,False,True,True,True
131,ASX:SBM,12,Materials,False,False,False,True,True,True
132,ASX:MGG,165,Financials,False,False,False,False,False,False
133,ASX:PTM,165,Financials,False,False,False,True,True,True
134,ASX:NHF,165,Financials,False,False,True,True,True,True
135,ASX:BOQ,165,Financials,False,False,True,True,True,True
136,ASX:MP1,193,Information Technology,False,False,False,False,True,True
137,ASX:NAN,146,Health Care,False,False,False,True,True,True
138,ASX:FLT,79,Consumer Discretionary,False,False,True,True,True,True
139,ASX:HTA,216,Communication Services,False,False,False,False,False,True
140,ASX:RWC,36,Industrials,False,False,True,True,True,True
141,ASX:NUF,12,Materials,False,False,False,True,True,True
142,ASX:BKW,12,Materials,False,False,False,True,True,True
143,ASX:WPR,247,Real Estate,False,False,False,False,False,False
144,ASX:CLW,247,Real Estate,False,False,False,True,True,True
145,ASX:SLR,12,Materials,False,False,False,True,True,True
146,ASX:PDL,165,Financials,False,False,False,True,True,True
147,ASX:CMW,247,Real Estate,False,False,False,True,True,True
148,ASX:IRE,193,Information Technology,False,False,False,True,True,True
149,ASX:IOZ,165,Financials,False,False,False,False,False,False
150,ASX:LNK,193,Information Technology,False,False,True,True,True,True
151,ASX:PPH,193,Information Technology,False,False,False,False,False,True
152,ASX:NWL,165,Financials,False,False,False,True,True,True
153,ASX:WHC,1,Energy,False,False,True,True,True,True
154,ASX:IOO,,,False,False,False,False,False,False
155,ASX:TYR,193,Information Technology,False,False,False,False,False,False
156,ASX:BAP,79,Consumer Discretionary,False,False,False,True,True,True
157,ASX:VOC,216,Communication Services,False,False,False,True,True,True
158,ASX:CQR,247,Real Estate,False,False,False,True,True,True
159,ASX:CSR,12,Materials,False,False,False,True,True,True
160,ASX:NSR,247,Real Estate,False,False,False,True,True,True
161,ASX:DHG,216,Communication Services,False,False,False,True,True,True
162,ASX:PNV,146,Health Care,False,False,False,True,True,True
163,ASX:ELD,124,Consumer Staples,False,False,False,True,True,True
164,ASX:IPH,36,Industrials,False,False,False,True,True,True
165,ASX:ABC,12,Materials,False,False,False,True,True,True
166,ASX:MFF,165,Financials,False,False,False,False,False,False
167,ASX:GOR,12,Materials,False,False,False,True,True,True
168,ASX:SKC,79,Consumer Discretionary,False,False,False,True,True,True
169,ASX:ABP,247,Real Estate,False,False,False,True,True,True
170,ASX:HLS,146,Health Care,False,False,False,True,True,True
171,ASX:IVC,79,Consumer Discretionary,False,False,False,True,True,True
172,ASX:IFL,165,Financials,False,False,False,True,True,True
173,ASX:TLT,234,Utilities,False,False,False,False,False,False
174,ASX:BIN,36,Industrials,False,False,False,True,True,True
175,ASX:APE,79,Consumer Discretionary,False,False,False,True,True,True
176,ASX:RMS,12,Materials,False,False,False,False,True,True
177,ASX:PRU,12,Materials,False,False,False,False,True,True
178,ASX:PPT,165,Financials,False,False,False,True,True,True
179,ASX:SUL,79,Consumer Discretionary,False,False,False,True,True,True
180,ASX:ZEL,1,Energy,False,False,False,False,False,True
181,ASX:BKL,124,Consumer Staples,False,False,False,True,True,True
182,ASX:WAM,165,Financials,False,False,False,False,False,False
183,ASX:SGM,12,Materials,False,False,False,True,True,True
184,ASX:AIZ,36,Industrials,False,False,False,False,False,False
185,ASX:LYC,12,Materials,False,False,False,True,True,True
186,ASX:VUK,165,Financials,False,False,True,True,True,True
187,ASX:RSG,12,Materials,False,False,False,True,True,True
188,ASX:FNP,124,Consumer Staples,False,False,False,False,True,True
189,ASX:SNZ,146,Health Care,False,False,False,False,False,False
190,ASX:ARB,79,Consumer Discretionary,False,False,False,True,True,True
191,ASX:CTD,79,Consumer Discretionary,False,False,False,True,True,True
192,ASX:Z1P,165,Financials,False,False,False,False,True,True
193,ASX:EVT,216,Communication Services,False,False,False,False,False,True
194,ASX:DDR,193,Information Technology,False,False,False,False,False,True
195,ASX:MXT,165,Financials,False,False,False,False,False,False
196,ASX:INA,247,Real Estate,False,False,False,True,True,True
197,ASX:CGC,124,Consumer Staples,False,False,False,True,True,True
198,ASX:ING,124,Consumer Staples,False,False,False,True,True,True
199,ASX:SM1,124,Consumer Staples,False,False,False,False,True,True
200,ASX:CDA,193,Information Technology,False,False,False,False,True,True
201,ASX:EML,193,Information Technology,False,False,False,True,True,True
202,ASX:ISX,193,Information Technology,False,False,False,False,True,True
203,ASX:VHY,,,False,False,False,False,False,False
204,ASX:CIA,12,Materials,False,False,False,False,True,True
205,ASX:BGA,124,Consumer Staples,False,False,False,True,True,True
206,ASX:BVS,193,Information Technology,False,False,False,True,True,True
207,ASX:NHC,1,Energy,False,False,False,True,True,True
208,ASX:IAF,,,False,False,False,False,False,False
209,ASX:RBD,79,Consumer Discretionary,False,False,False,False,False,False
210,ASX:CUV,146,Health Care,False,False,False,True,True,True
211,ASX:CRN,12,Materials,False,False,False,False,False,True
212,ASX:WEB,79,Consumer Discretionary,False,False,False,True,True,True
213,ASX:CEN,234,Utilities,False,False,False,False,False,True
214,ASX:JHG,165,Financials,False,False,False,True,True,True
215,ASX:CIP,247,Real Estate,False,False,False,False,True,True
216,ASX:ASB,36,Industrials,False,False,False,True,True,True
217,ASX:OBL,165,Financials,False,False,False,False,True,True
218,ASX:UMG,124,Consumer Staples,False,False,False,True,True,True
219,ASX:MND,36,Industrials,False,False,False,True,True,True
220,ASX:AVH,146,Health Care,False,False,False,True,True,True
221,ASX:WLF,12,Materials,False,False,False,False,False,False
222,ASX:AVN,247,Real Estate,False,False,False,False,True,True
223,ASX:BKI,165,Financials,False,False,False,False,False,False
224,ASX:MVW,,,False,False,False,False,False,False
225,ASX:AUI,165,Financials,False,False,False,False,False,False
226,ASX:WGX,12,Materials,False,False,False,False,True,True
227,ASX:COF,247,Real Estate,False,False,False,False,True,True
228,ASX:ZIM,12,Materials,False,False,False,False,False,True
229,ASX:GNC,124,Consumer Staples,False,False,False,True,True,True
230,ASX:URW,247,Real Estate,False,False,True,True,True,True
231,ASX:CCP,165,Financials,False,False,False,True,True,True
232,ASX:AUB,165,Financials,False,False,False,False,True,True
233,ASX:MHH,,,False,False,False,False,False,False
234,ASX:SSM,36,Industrials,False,False,False,True,True,True
235,ASX:LIC,247,Real Estate,False,False,False,False,True,True
236,ASX:GMA,165,Financials,False,False,False,False,True,True
237,ASX:DUI,165,Financials,False,False,False,False,False,False
238,ASX:VG1,165,Financials,False,False,False,False,False,False
239,ASX:LEP,247,Real Estate,False,False,False,False,False,True
240,ASX:FCL,193,Information Technology,False,False,False,False,False,False
241,ASX:CKF,79,Consumer Discretionary,False,False,False,True,True,True
242,ASX:NWS,216,Communication Services,False,False,False,True,True,True
243,ASX:KGN,79,Consumer Discretionary,False,False,False,False,True,True
244,ASX:GUD,79,Consumer Discretionary,False,False,False,True,True,True
245,ASX:SLK,79,Consumer Discretionary,False,False,False,False,False,True
246,ASX:BGP,79,Consumer Discretionary,False,False,False,False,False,False
247,ASX:WLE,165,Financials,False,False,False,False,False,False
248,ASX:TGR,124,Consumer Staples,False,False,False,True,True,True
249,ASX:MGX,12,Materials,False,False,False,False,True,True
250,ASX:NIC,12,Materials,False,False,False,False,True,True
251,ASX:JIN,79,Consumer Discretionary,False,False,False,True,True,True
252,ASX:SFR,12,Materials,False,False,False,True,True,True
253,ASX:LOV,79,Consumer Discretionary,False,False,False,False,True,True
254,ASX:SHV,124,Consumer Staples,False,False,False,False,True,True
255,ASX:OPT,146,Health Care,False,False,False,False,False,True
256,ASX:PNI,165,Financials,False,False,False,True,True,True
257,ASX:AGG,12,Materials,False,False,False,False,False,True
258,ASX:MYX,146,Health Care,False,False,False,True,True,True
259,ASX:CQE,247,Real Estate,False,False,False,False,True,True
260,ASX:IXJ,165,Financials,False,False,False,False,False,False
261,ASX:IAP,247,Real Estate,False,False,False,False,True,True
262,ASX:LSF,,,False,False,False,False,False,False
263,ASX:VAH,36,Industrials,False,False,False,False,False,True
264,ASX:CNI,165,Financials,False,False,False,False,True,True
265,ASX:GEM,79,Consumer Discretionary,False,False,False,True,True,True
266,ASX:GWA,36,Industrials,False,False,False,True,True,True
267,ASX:NBI,,,False,False,False,False,False,False
268,ASX:EOS,36,Industrials,False,False,False,False,False,True
269,ASX:PRN,12,Materials,False,False,False,True,True,True
270,ASX:WAF,12,Materials,False,False,False,False,True,True
271,ASX:NEA,193,Information Technology,False,False,False,True,True,True
272,ASX:PGH,12,Materials,False,False,False,False,True,True
273,ASX:DTL,193,Information Technology,False,False,False,False,True,True
274,ASX:OCL,193,Information Technology,False,False,False,False,False,True
275,ASX:SIQ,36,Industrials,False,False,False,True,True,True
276,ASX:IDX,146,Health Care,False,False,False,False,False,True
277,ASX:VGI,165,Financials,False,False,False,False,False,False
278,ASX:KKC,165,Financials,False,False,False,False,False,False
279,ASX:NWH,36,Industrials,False,False,False,True,True,True
280,ASX:HM1,,,False,False,False,False,False,False
281,ASX:IEM,,,False,False,False,False,False,False
282,ASX:COE,1,Energy,False,False,False,True,True,True
283,ASX:KMD,79,Consumer Discretionary,False,False,False,False,False,True
284,ASX:RFF,247,Real Estate,False,False,False,False,True,True
285,ASX:AQG,12,Materials,False,False,False,False,True,True
286,ASX:HSN,193,Information Technology,False,False,False,False,True,True
287,ASX:PSI,165,Financials,False,False,False,False,False,True
288,ASX:HUB,165,Financials,False,False,False,True,True,True
289,ASX:AX1,79,Consumer Discretionary,False,False,False,False,True,True
290,ASX:SIG,146,Health Care,False,False,False,False,True,True
291,ASX:AAC,124,Consumer Staples,False,False,False,False,True,True
292,ASX:OML,216,Communication Services,False,False,False,True,True,True
293,ASX:HGH,165,Financials,False,False,False,False,False,False
294,ASX:ARF,247,Real Estate,False,False,False,False,True,True
295,ASX:PBH,79,Consumer Discretionary,False,False,False,False,False,False
296,ASX:ERA,1,Energy,False,False,False,False,False,True
297,ASX:BUB,124,Consumer Staples,False,False,False,False,True,True
298,ASX:AEF,165,Financials,False,False,False,False,False,True
299,ASX:MAQ,216,Communication Services,False,False,False,False,False,True
300,ASX:WSA,12,Materials,False,False,False,True,True,True
301,ASX:RED,12,Materials,False,False,False,False,False,False
302,ASX:ORE,12,Materials,False,False,False,True,True,True
303,ASX:AHY,124,Consumer Staples,False,False,False,False,True,True
304,ASX:ELO,193,Information Technology,False,False,False,False,False,True
305,ASX:IFM,193,Information Technology,False,False,False,False,True,True
306,ASX:CIN,165,Financials,False,False,False,False,False,False
307,ASX:MMS,36,Industrials,False,False,False,True,True,True
308,ASX:GDI,247,Real Estate,False,False,False,False,True,True
309,ASX:IRI,193,Information Technology,False,False,False,False,True,True
310,ASX:MICH,,,False,False,False,False,False,False
311,ASX:PLS,12,Materials,False,False,False,True,True,True
312,ASX:IFN,234,Utilities,False,False,False,False,True,True
