0.72,	1283
0.705,	478
0.705,	1242
0.7,	537
0.7,	610
0.7,	829
0.7,	912
0.695,	1083
0.682,	479
0.68,	477
0.68,	634
0.68,	733
0.68,	894
0.67,	489
0.663,	72
0.66,	262
0.66,	366
0.66,	591
0.657,	436
0.655,	450
0.655,	916
0.65,	181
0.65,	353
0.649,	101
0.645,	602
0.645,	1261
0.64,	278
0.64,	759
0.63,	383
0.625,	82
0.625,	443
0.62,	308
0.62,	519
0.62,	589
0.62,	825
0.62,	1983
0.618,	453
0.615,	530
0.615,	556
0.613,	673
0.61,	464
0.61,	564
0.6,	414
0.6,	626
0.6,	845
0.6,	960
0.6,	971
0.6,	1002
0.6,	1811
0.595,	141
0.595,	441
0.59,	1058
0.58,	552
0.57,	335
0.57,	525
0.57,	527
0.57,	1126
0.565,	618
0.562,	871
0.561,	164
0.56,	376
0.56,	466
0.56,	676
0.555,	513
0.55,	288
0.55,	685
0.55,	839
0.55,	1341
0.547,	1217
0.544,	145
0.54,	280
0.54,	481
0.53,	303
0.53,	660
0.525,	185
0.52,	508
0.52,	695
0.52,	870
0.515,	681
0.515,	1280
0.51,	415
0.5,	438
0.5,	447
0.5,	496
0.5,	577
0.5,	670
0.5,	737
0.5,	920
0.5,	1193
0.5,	1668
0.495,	217
0.495,	805
0.49,	672
0.49,	1094
0.49,	1150
0.487,	463
0.48,	93
0.48,	858
0.48,	867
0.469,	243
0.469,	286
0.465,	471
0.465,	679
0.465,	869
0.463,	171
0.46,	362
0.46,	543
0.46,	948
0.455,	23
0.451,	90
0.45,	562
0.45,	702
0.44,	423
0.44,	639
0.44,	697
0.435,	401
0.435,	946
0.435,	1088
0.428,	247
0.427,	433
0.42,	355
0.41,	279
0.41,	363
0.41,	1251
0.405,	637
0.4,	133
0.4,	432
0.4,	549
0.4,	580
0.4,	793
0.4,	863
0.399,	43
0.395,	747
0.395,	754
0.39,	497
0.39,	942
0.39,	975
0.38,	364
0.38,	813
0.38,	969
0.375,	551
0.375,	573
0.375,	1106
0.37,	385
0.37,	620
0.37,	647
0.365,	474
0.361,	257
0.36,	421
0.36,	1111
0.355,	146
0.355,	358
0.355,	473
0.35,	483
0.345,	701
0.344,	94
0.34,	393
0.34,	547
0.34,	802
0.335,	486
0.335,	1404
0.332,	826
0.33,	841
0.325,	874
0.324,	425
0.32,	517
0.32,	710
0.32,	713
0.32,	1011
0.31,	277
0.31,	459
0.305,	293
0.305,	636
0.3,	184
0.3,	275
0.3,	667
0.3,	781
0.3,	859
0.3,	945
0.298,	389
0.29,	1415
0.289,	553
0.285,	500
0.281,	994
0.28,	528
0.28,	917
0.277,	691
0.275,	604
0.275,	1003
0.271,	203
0.27,	544
0.263,	1162
0.26,	340
0.26,	1107
0.255,	386
0.255,	1426
0.254,	507
0.25,	309
0.25,	609
0.25,	928
